,Name,Address,Tel,Email,Contact Persons,Products
0,MOIZ EXPORTS,"PRINCE ROAD,
MORADABAD, UTTAR PRADESH",,moizexports@gmail.com,RUBINA,"HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,HANDICRAFTS,"
1,1 ARTIFACT DECOR (INDIA),"305, GANPATI APARTMENT, SHEETLA ROAD, KHANDARI
AGRA, UTTAR PRADESH",562-4010111,artifactdecor01@gmail.com,KALPANA PACHAURI,"DECORATIVE OBJECTS,HANDICRAFTS,DECORATIVE OBJECTS,HANDICRAFTS,DECORATIVE OBJECTS,HANDICRAFTS,DECORATIVE OBJECTS,HANDICRAFTS,"
2,1 DOLLAR GIFTS,"E-199, SHASTRI NAGAR NEAR METRO STATION
NEW DELHI, DELHI","11-23644555,11-23649555",info@dolphinexportsindia.com,MRS.CHANDER KESHA,"EMBROIDERY FURNISHING,HANDICRAFTS,"
3,1 DOLLAR IMPORTS,"01, KALI KA MANDIR, TABELA STREET,
MORADABAD, UTTAR PRADESH",,"farhan@1dollarimports.com,farhanbinsamad@gmai",FARHAN BIN SAMAD,"HANDICRAFTS,CREMATION METAL URNS,"
4,10 FINGERS,"JAGAPATTI KHAMARIA MIRZAPUR
BHADOHI, UTTAR PRADESH",-9891584814,info@10fingers.co.in,JANMEJAY MAURYA,"ACCENT RUGS,BAGS (COTTON),BAGS (JUTE),BATH RUGS,BLOCK PRINTING,CARPET & RUGS,CARPETS & DURRIES,CHAIN STITCH RUGS,DOOR MATS,FLOOR COVERINGS,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,ACCENT RUGS,BAGS (COTTON),BAGS (JUTE),BATH RUGS,BLOCK PRINTING,CARPET & RUGS,CARPETS & DURRIES,CHAIN STITCH RUGS,DOOR MATS,FLOOR COVERINGS,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,ACCENT RUGS,BAGS (COTTON),BAGS (JUTE),BATH RUGS,BLOCK PRINTING,CARPET & RUGS,CARPETS & DURRIES,CHAIN STITCH RUGS,DOOR MATS,FLOOR COVERINGS,HAND KNOTTED WOOLEN-PILE/FLAT WEAVE CARPETS,HAND WOVEN WOOLLEN, COTTON, CHENILLE DURIES,"
5,11D GLOBAL EXIM LLP,"C-437, RHO-I, SECTOR-36
GREATER NOIDA, UTTAR PRADESH",9810-432232,info@11dglobal.com,NEERAJ DHIMAN,"HANDICRAFTS,WOODEN STEEL AND LEATHER CRAFT"
6,123 HANDICRAFTS,"140 BASANT BAHAR COLONY, TONK ROAD,
JAIPUR, RAJASTHAN",141-2546097,123handicrafts@gmail.com,MR. RENUKA MAHESHWARI,"HANDICRAFTS,"
7,1502 CRAFTS,"G-11, BALAJI AVENUE, JUDGES BUNGLOW ROAD, VASTRAPUR
AHMEDABAD, GUJARAT",79-26747925,1502crafts@gmail.com,FALGUNI HIREN SHAH,"ALL KINDS OF NATURAL FABRIC (COTTON, LINEN, SILK, JACQUARD/PLAIN),ALL SORTS OF ACCESSORIES ,BAGS (LEATHER),SCARVES.SHAWLS/MUFFLERS/STOLES,"
8,1A COMMERCE,"107/43, LANE- 4, EAST AZAD NAGAR
DELHI, DELHI",-9899580009,sales@atithin.com,DIVYANSH SADH,"HANDICRAFTS,HANDICRAFTS,"
9,2 S COLLECTION,"KISROL NEAR GANGA MANDIR OPP.RAMESH METAL
MORADABAD, UTTAR PRADESH",591-2359999,"2scollection@gmail.com,shariq@2scollection.co",SHARIQ AHMAD SIDDIQUI,"BRASSWARE,COPPERWARE,HANDICRAFTS,IRON CRAFTS,STAINLESS STEEL TABLEWARE,"
